scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
biopsy	UQ_B30	VLP121_D	ITGB5	405	94	0.23209876543209876	0.22815751291354022
biopsy	UQ_B30	VLP121_D	MMP2	405	36	0.08888888888888889	0.08760146467374523
biopsy	UQ_B30	VLP121_D	MMP9	405	0	0.0	0.0
biopsy	UQ_B30	VLP121_D	MMP14	405	55	0.13580246913580246	0.13444321309568544
biopsy	UQ_B30	VLP121_D	PLAU	405	2	0.0049382716049382715	0.0034347718501706224
biopsy	UQ_B30	VLP121_D	PLAT	405	5	0.012345679012345678	0.010133665115834812
biopsy	UQ_B30	VLP121_D	TIMP1	405	167	0.4123456790123457	0.4493926015246486
biopsy	UQ_B30	VLP121_D	TIMP2	405	49	0.12098765432098765	0.12117620043860128
biopsy	UQ_B31	VLP121_D	SERPINE1	189	32	0.1693121693121693	0.14294252532469112
biopsy	UQ_B31	VLP121_D	SPON1	189	1	0.005291005291005291	0.0037149010847372555
biopsy	UQ_B31	VLP121_D	ITGAV	189	18	0.09523809523809523	0.08046732889491746
biopsy	UQ_B31	VLP121_D	ITGB5	189	47	0.24867724867724866	0.22387847957414705
biopsy	UQ_B31	VLP121_D	MMP2	189	20	0.10582010582010581	0.09338907121130641
biopsy	UQ_B31	VLP121_D	MMP9	189	2	0.010582010582010581	0.00884467686957871
biopsy	UQ_B31	VLP121_D	MMP14	189	25	0.13227513227513227	0.11782434605425735
biopsy	UQ_B31	VLP121_D	PLAU	189	7	0.037037037037037035	0.02159041594668115
biopsy	UQ_B31	VLP121_D	PLAT	189	10	0.05291005291005291	0.04715084479397693
biopsy	UQ_B31	VLP121_D	TIMP1	189	79	0.41798941798941797	0.40236872829575093
biopsy	UQ_B31	VLP121_D	TIMP2	189	35	0.18518518518518517	0.16664393281393233
biopsy	UQ_B32	VLP121_D	SERPINE1	284	59	0.20774647887323944	0.20230813346748916
biopsy	UQ_B32	VLP121_D	SPON1	284	16	0.056338028169014086	0.05840780842901759
biopsy	UQ_B32	VLP121_D	ITGAV	284	46	0.1619718309859155	0.14478783266778106
biopsy	UQ_B32	VLP121_D	ITGB5	284	78	0.2746478873239437	0.27852950980673835
biopsy	UQ_B32	VLP121_D	MMP2	284	83	0.29225352112676056	0.2997781385378091
biopsy	UQ_B32	VLP121_D	MMP9	284	3	0.01056338028169014	0.011977533145756582
biopsy	UQ_B32	VLP121_D	MMP14	284	82	0.2887323943661972	0.3088071414106078
biopsy	UQ_B32	VLP121_D	PLAU	284	6	0.02112676056338028	0.019227497615913115
biopsy	UQ_B32	VLP121_D	PLAT	284	11	0.03873239436619718	0.02890347901799335
biopsy	UQ_B32	VLP121_D	TIMP1	284	202	0.7112676056338029	1.1019775472815923
biopsy	UQ_B32	VLP121_D	TIMP2	284	71	0.25	0.23965189141653184
biopsy	UQ_B33	VLP121_D	SERPINE1	444	101	0.22747747747747749	0.24801639819528928
biopsy	UQ_B33	VLP121_D	SPON1	444	25	0.05630630630630631	0.059441772679961265
biopsy	UQ_B33	VLP121_D	ITGAV	444	74	0.16666666666666666	0.17272634665912137
biopsy	UQ_B33	VLP121_D	ITGB5	444	117	0.2635135135135135	0.2759577019258406
biopsy	UQ_B33	VLP121_D	MMP2	444	116	0.26126126126126126	0.29344699384017375
biopsy	UQ_B33	VLP121_D	MMP9	444	1	0.0022522522522522522	0.0022265845600988278
biopsy	UQ_B33	VLP121_D	MMP14	444	118	0.26576576576576577	0.2850008900330604
biopsy	UQ_B33	VLP121_D	PLAU	444	25	0.05630630630630631	0.06195378306421193
biopsy	UQ_B33	VLP121_D	PLAT	444	18	0.04054054054054054	0.038303228682469534
biopsy	UQ_B33	VLP121_D	TIMP1	444	328	0.7387387387387387	1.2321483173470134
biopsy	UQ_B33	VLP121_D	TIMP2	444	103	0.23198198198198197	0.25428894769154803
